ulCounter,timestamp,fcnt,deui,gw,ftime,ft2d,etime,snr,rssi,ant,lsnr,rssic,rssis,lat,lon
92,1498556358781,92,'3238353550348101','7076fffffe017776',,,,-11,-118,0,-11,-107,,0,0
68,1498556360308,68,'333234315D358019','0000000008060504',,,,-7,-114,,,,,,
68,1498556360412,68,'333234315D358019','0000000008060739',,,,-7.5,-115,,,,,,
68,1498556360448,68,'333234315D358019','7076fffffe01784d',,-2192,rCBy3BWwnIGaFzrrSEbVtg==,-14,-115,0,-14,-101,-116,0,0
68,1498556360855,68,'333234315D358019','0000000008060613',,,,-8.8,-120,,,,,,
93,1498556363097,93,'3238353550348101','0000000008060504',,,,-5.2,-114,,,,,,
69,1498556363412,69,'333234315D358019','0000000008060504',,,,-5.8,-113,,,,,,
94,1498556366136,94,'3238353550348101','0000000008060504',,,,-3.8,-112,,,,,,
94,1498556366244,94,'3238353550348101','00000000080e0022',,,,-10.2,-123,,,,,,
70,1498556366441,70,'333234315D358019','0000000008060504',,,,-4.2,-113,,,,,,
70,1498556366531,70,'333234315D358019','0000000008060739',,,,-1.2,-117,,,,,,
70,1498556366589,70,'333234315D358019','7076fffffe01784d',,-212,vMHVyiRxXLVPMUjaM0kG9A==,-13,-114,0,-13,-101,-114,0,0
70,1498556367001,70,'333234315D358019','0000000008060613',,,,-11.5,-122,,,,,,
95,1498556369399,95,'3238353550348101','0000000008060504',,,,-9.2,-121,,,,,,
95,1498556369400,95,'3238353550348101','000000000806042f',,,,-11,-123,,,,,,
71,1498556369497,71,'333234315D358019','000000000806042f',,,,-11.8,-126,,,,,,
95,1498556369501,95,'3238353550348101','00000000080e0022',,,,-7.8,-125,,,,,,
71,1498556369503,71,'333234315D358019','0000000008060504',,,,-7.8,-119,,,,,,
95,1498556369537,95,'3238353550348101','00000000080e00e5',,,,-10.2,-125,,,,,,
71,1498556369556,71,'333234315D358019','7076fffffe01784d',,-131,Lw7R7C8jQV8RwPFKuhu/LQ==,-12,-113,0,-12,-101,-114,0,0
71,1498556369656,71,'333234315D358019','00000000080e00e5',,,,-3,-117,,,,,,
95,1498556369811,95,'3238353550348101','0000000008060739',,,,3.8,-112,,,,,,
71,1498556369812,71,'333234315D358019','0000000008060739',,,,2.5,-112,,,,,,
95,1498556369958,95,'3238353550348101','00000000080e00a3',,,,-13,-127,,,,,,
95,1498556370051,95,'3238353550348101','000000000806070e',,,,-10.2,-124,,,,,,
71,1498556370145,71,'333234315D358019','0000000008060613',,,,-12,-129,,,,,,
72,1498556372487,72,'333234315D358019','0000000008060504',,,,-6.8,-113,,,,,,
72,1498556372586,72,'333234315D358019','00000000080e0022',,,,-12.2,-127,,,,,,
72,1498556373103,72,'333234315D358019','0000000008060739',,,,-8,-117,,,,,,
96,1498556373321,96,'3238353550348101','00000000080e0022',,,,-8.5,-126,,,,,,
96,1498556373354,96,'3238353550348101','7076fffffe01784d',,-519,gawrCEvznhG4Oay74wsM3Q==,-13,-116,0,-13,-103,-116,0,0
96,1498556373540,96,'3238353550348101','00000000080e00e5',,,,-8.5,-122,,,,,,
96,1498556374058,96,'3238353550348101','000000000806070e',,,,-9.2,-123,,,,,,
96,1498556374085,96,'3238353550348101','0000000008060739',,,,-3.8,-120,,,,,,
73,1498556375559,73,'333234315D358019','0000000008060504',,,,-4.8,-113,,,,,,
73,1498556375687,73,'333234315D358019','7076fffffe01784d',,-675,iNXZhev5y1YNoSJau65ZlA==,-15,-113,0,-15,-98,-114,0,0
97,1498556377920,97,'3238353550348101','0000000008060504',,,,-11.2,-123,,,,,,
97,1498556378046,97,'3238353550348101','7076fffffe01784d',,,,-12,-120,0,-12,-108,,0,0
97,1498556378073,97,'3238353550348101','7076fffffe017776',,-474,WJwOn1Tna7FkSbniBM6+sw==,-14,-122,0,-14,-108,-123,0,0
97,1498556378163,97,'3238353550348101','00000000080e0022',,,,-6,-121,,,,,,
97,1498556378220,97,'3238353550348101','00000000080e00e5',,,,-8.8,-124,,,,,,
74,1498556378725,74,'333234315D358019','0000000008060504',,,,-11.5,-120,,,,,,
97,1498556378731,97,'3238353550348101','000000000806070e',,,,-10.2,-122,,,,,,
97,1498556378749,97,'3238353550348101','0000000008060739',,,,-4.5,-120,,,,,,
74,1498556378820,74,'333234315D358019','7076fffffe01787f',,,,-14,-120,0,-14,-106,,0,0
74,1498556378822,74,'333234315D358019','00000000080e0022',,,,-9.8,-127,,,,,,
74,1498556378860,74,'333234315D358019','7076fffffe017776',,96,+wrfTSUfw2Y9WviNQJgg/A==,-15,-121,0,-15,-106,-121,0,0
74,1498556379298,74,'333234315D358019','0000000008060613',,,,-8.5,-122,,,,,,
74,1498556379463,74,'333234315D358019','0000000008060739',,,,-7.5,-116,,,,,,
75,1498556381753,75,'333234315D358019','000000000806042f',,,,-11.5,-125,,,,,,
75,1498556381757,75,'333234315D358019','0000000008060504',,,,-3.2,-117,,,,,,
75,1498556381828,75,'333234315D358019','7076fffffe01784d',,,,-11,-116,0,-11,-105,,0,0
75,1498556382036,75,'333234315D358019','00000000080e00e5',,,,-3.5,-119,,,,,,
75,1498556382298,75,'333234315D358019','0000000008060613',,,,-11.8,-129,,,,,,
75,1498556382340,75,'333234315D358019','0000000008060739',,,,1,-116,,,,,,
98,1498556382666,98,'3238353550348101','0000000008060504',,,,-2.8,-110,,,,,,
98,1498556382670,98,'3238353550348101','000000000806042f',,,,-12.8,-122,,,,,,
98,1498556382761,98,'3238353550348101','00000000080e0022',,,,-8,-123,,,,,,
98,1498556382812,98,'3238353550348101','7076fffffe017776',,-2423,7CkFz0iCAU66kDsri88ODg==,-13,-119,0,-13,-106,-120,0,0
98,1498556383301,98,'3238353550348101','0000000008060739',,,,-7,-121,,,,,,
76,1498556384811,76,'333234315D358019','0000000008060504',,,,null,-111,,,,,,
76,1498556384921,76,'333234315D358019','00000000080e0022',,,,-10.2,-125,,,,,,
76,1498556384947,76,'333234315D358019','7076fffffe01784d',,,,-13,-119,0,-13,-106,,0,0
76,1498556385098,76,'333234315D358019','00000000080e00e5',,,,-5.5,-120,,,,,,
76,1498556385415,76,'333234315D358019','0000000008060613',,,,-11.2,-125,,,,,,
76,1498556385698,76,'333234315D358019','0000000008060739',,,,2.5,-113,,,,,,
99,1498556386182,99,'3238353550348101','0000000008060504',,,,-12.2,-124,,,,,,
99,1498556386189,99,'3238353550348101','000000000806042f',,,,-10.5,-122,,,,,,
99,1498556386283,99,'3238353550348101','00000000080e0022',,,,-8.8,-124,,,,,,
99,1498556386305,99,'3238353550348101','7076fffffe017776',,-1803,j22ZLwcZS/EV2cJ6/bqBgQ==,-15,-123,0,-15,-108,-124,0,0
99,1498556386457,99,'3238353550348101','00000000080e00e5',,,,-8.8,-124,,,,,,
99,1498556386861,99,'3238353550348101','000000000806070e',,,,-11,-124,,,,,,
99,1498556386924,99,'3238353550348101','0000000008060739',,,,-1.2,-118,,,,,,
77,1498556387829,77,'333234315D358019','0000000008060504',,,,-10.5,-118,,,,,,
77,1498556387917,77,'333234315D358019','7076fffffe01784d',,217,Kla7GcFTdAX/reIsxhsyUQ==,-14,-117,0,-14,-103,-117,0,0
77,1498556387922,77,'333234315D358019','00000000080e0022',,,,-6.8,-125,,,,,,
77,1498556388078,77,'333234315D358019','00000000080e00e5',,,,-5.8,-120,,,,,,
100,1498556390640,100,'3238353550348101','000000000806042f',,,,-11,-120,,,,,,
100,1498556390641,100,'3238353550348101','0000000008060504',,,,-2.5,-112,,,,,,
100,1498556390741,100,'3238353550348101','00000000080e0022',,,,-7.8,-121,,,,,,
100,1498556390826,100,'3238353550348101','7076fffffe017776',,-1031,89i4YBBPnuT+RmMoje7LGQ==,-12,-118,0,-12,-106,-119,0,0
78,1498556391020,78,'333234315D358019','0000000008060504',,,,-3,-110,,,,,,
78,1498556391156,78,'333234315D358019','7076fffffe017776',,155,faABw+LFgGfasgMRIxUpnQ==,-15,-118,0,-15,-103,-118,0,0
78,1498556391166,78,'333234315D358019','7076fffffe01784d',,693,XVACob3H24+ar/k4lomH7w==,-10,-113,0,-10,-103,-113,0,0
78,1498556391577,78,'333234315D358019','0000000008060613',,,,-9.8,-121,,,,,,
100,1498556391730,100,'3238353550348101','0000000008060739',,,,-3,-113,,,,,,
78,1498556391790,78,'333234315D358019','0000000008060739',,,,-3,-118,,,,,,
79,1498556394159,79,'333234315D358019','0000000008060504',,,,1,-113,,,,,,
79,1498556394160,79,'333234315D358019','000000000806042f',,,,-14,-125,,,,,,
101,1498556394286,101,'3238353550348101','0000000008060504',,,,-3,-111,,,,,,
79,1498556394319,79,'333234315D358019','00000000080e0022',,,,-6.5,-124,,,,,,
79,1498556394345,79,'333234315D358019','0000000008060739',,,,-6,-119,,,,,,
101,1498556394363,101,'3238353550348101','00000000080e0022',,,,-7.5,-119,,,,,,
101,1498556394389,101,'3238353550348101','0000000008060739',,,,-3.8,-114,,,,,,
79,1498556394396,79,'333234315D358019','00000000080e00e5',,,,-12.5,-119,,,,,,
79,1498556394754,79,'333234315D358019','0000000008060613',,,,-6.2,-120,,,,,,
80,1498556397185,80,'333234315D358019','0000000008060504',,,,-6.8,-115,,,,,,
80,1498556397286,80,'333234315D358019','0000000008060739',,,,1,-113,,,,,,
102,1498556397306,102,'3238353550348101','000000000806042f',,,,-9.5,-124,,,,,,
102,1498556397307,102,'3238353550348101','0000000008060504',,,,-10.8,-119,,,,,,
102,1498556397392,102,'3238353550348101','7076fffffe017776',,123,7XngpiYRnPTH3TBHyfHWpA==,-13,-121,0,-13,-108,-122,0,0
102,1498556397400,102,'3238353550348101','00000000080e0022',,,,-7.5,-126,,,,,,
102,1498556397410,102,'3238353550348101','0000000008060739',,,,1.2,-111,,,,,,
102,1498556397575,102,'3238353550348101','00000000080e00e5',,,,-4.5,-119,,,,,,
80,1498556397724,80,'333234315D358019','0000000008060613',,,,-10,-121,,,,,,
81,1498556400228,81,'333234315D358019','0000000008060504',,,,-5.8,-114,,,,,,
81,1498556400347,81,'333234315D358019','7076fffffe01784d',,111,upG8KJEGcaTWF7LKNAuoPA==,-15,-112,0,-15,-97,-112,0,0
103,1498556402145,103,'3238353550348101','0000000008060504',,,,-2.5,-111,,,,,,
103,1498556402294,103,'3238353550348101','00000000080e0022',,,,-9,-120,,,,,,
103,1498556402296,103,'3238353550348101','0000000008060739',,,,-5.2,-118,,,,,,
82,1498556403344,82,'333234315D358019','00000000080e0022',,,,-9.2,-124,,,,,,
82,1498556403371,82,'333234315D358019','0000000008060739',,,,-1,-112,,,,,,
82,1498556403396,82,'333234315D358019','7076fffffe01784d',,-1134,P8EgYaP3S+mVV4tpAZPmyw==,-14,-116,0,-14,-102,-117,0,0
82,1498556403517,82,'333234315D358019','00000000080e00e5',,,,-7.5,-122,,,,,,
82,1498556403796,82,'333234315D358019','0000000008060613',,,,-9.8,-124,,,,,,
104,1498556405218,104,'3238353550348101','0000000008060504',,,,-2,-112,,,,,,
104,1498556405343,104,'3238353550348101','0000000008060739',,,,-4.8,-117,,,,,,
104,1498556405345,104,'3238353550348101','00000000080e0022',,,,-5.2,-118,,,,,,
83,1498556406322,83,'333234315D358019','0000000008060504',,,,-3.5,-116,,,,,,
83,1498556406322,83,'333234315D358019','000000000806042f',,,,-10,-123,,,,,,
83,1498556406421,83,'333234315D358019','00000000080e0022',,,,-8,-127,,,,,,
83,1498556406428,83,'333234315D358019','7076fffffe01784d',,-176,viDrZ9Q7bBPcAGw5MsPPOQ==,-13,-116,0,-13,-103,-117,0,0
83,1498556406428,83,'333234315D358019','0000000008060739',,,,1,-113,,,,,,
83,1498556406562,83,'333234315D358019','00000000080e00e5',,,,-3.5,-119,,,,,,
84,1498556409409,84,'333234315D358019','0000000008060504',,,,-1,-111,,,,,,
84,1498556409502,84,'333234315D358019','00000000080e0022',,,,-6.5,-124,,,,,,
84,1498556409509,84,'333234315D358019','0000000008060739',,,,5,-110,,,,,,
84,1498556409547,84,'333234315D358019','7076fffffe01784d',,-152,qVRPHipEqJajT0UWl3gxBQ==,-13,-119,0,-13,-106,-120,0,0
84,1498556409699,84,'333234315D358019','00000000080e00e5',,,,-7.2,-122,,,,,,
84,1498556410019,84,'333234315D358019','0000000008060613',,,,-12.8,-116,,,,,,
105,1498556410195,105,'3238353550348101','000000000806042f',,,,-10,-124,,,,,,
105,1498556410203,105,'3238353550348101','0000000008060504',,,,-6.8,-119,,,,,,
105,1498556410300,105,'3238353550348101','00000000080e0022',,,,-6.5,-122,,,,,,
105,1498556410438,105,'3238353550348101','00000000080e00e5',,,,-9.8,-124,,,,,,
105,1498556410448,105,'3238353550348101','0000000008060739',,,,1.5,-115,,,,,,
105,1498556410900,105,'3238353550348101','000000000806070e',,,,-11.2,-123,,,,,,
105,1498556410983,105,'3238353550348101','00000000080e00a3',,,,-13,-128,,,,,,
85,1498556412533,85,'333234315D358019','0000000008060504',,,,-5.8,-113,,,,,,
106,1498556414493,106,'3238353550348101','000000000806042f',,,,-11.2,-124,,,,,,
106,1498556414495,106,'3238353550348101','0000000008060504',,,,-9.8,-122,,,,,,
106,1498556414591,106,'3238353550348101','00000000080e0022',,,,-5.8,-121,,,,,,
106,1498556414607,106,'3238353550348101','0000000008060739',,,,-3,-118,,,,,,
106,1498556414778,106,'3238353550348101','00000000080e00e5',,,,-8.5,-124,,,,,,
106,1498556415173,106,'3238353550348101','000000000806070e',,,,-13,-126,,,,,,
86,1498556415556,86,'333234315D358019','0000000008060504',,,,-6.5,-114,,,,,,
86,1498556415641,86,'333234315D358019','7076fffffe017776',,175,10LGPvbVV8m0AGBU8IrTyA==,-14,-118,0,-14,-104,-119,0,0
86,1498556415648,86,'333234315D358019','0000000008060739',,,,-5.8,-118,,,,,,
86,1498556415725,86,'333234315D358019','7076fffffe01784d',,94,cRNSaBtXHM87VYXRFCpRhg==,-9,-112,0,-9,-103,-113,0,0
86,1498556416178,86,'333234315D358019','0000000008060613',,,,-12.2,-124,,,,,,
87,1498556418610,87,'333234315D358019','0000000008060504',,,,-5,-116,,,,,,
87,1498556418713,87,'333234315D358019','0000000008060739',,,,null,-118,,,,,,
87,1498556418734,87,'333234315D358019','7076fffffe01784d',,-954,u9gy6UAqwh68eAPSln0s5w==,-12,-114,0,-12,-102,-115,0,0
87,1498556418900,87,'333234315D358019','00000000080e00e5',,,,-6.2,-121,,,,,,
107,1498556418960,107,'3238353550348101','0000000008060504',,,,-7.8,-117,,,,,,
107,1498556418960,107,'3238353550348101','000000000806042f',,,,-8.8,-122,,,,,,
107,1498556419047,107,'3238353550348101','0000000008060739',,,,0.2,-117,,,,,,
107,1498556419066,107,'3238353550348101','00000000080e0022',,,,-6,-123,,,,,,
107,1498556419331,107,'3238353550348101','00000000080e00e5',,,,-6,-121,,,,,,
107,1498556419559,107,'3238353550348101','0000000008060613',,,,-8.5,-124,,,,,,
107,1498556419630,107,'3238353550348101','000000000806070e',,,,-10.2,-124,,,,,,
88,1498556421682,88,'333234315D358019','0000000008060504',,,,-8.2,-116,,,,,,
88,1498556421775,88,'333234315D358019','7076fffffe01784d',,,,-12,-118,0,-12,-106,,0,0
108,1498556423849,108,'3238353550348101','0000000008060504',,,,-4,-113,,,,,,
108,1498556423901,108,'3238353550348101','00000000080e0022',,,,-8.2,-120,,,,,,
108,1498556423957,108,'3238353550348101','7076fffffe01787f',,,,-13,-119,0,-13,-106,,0,0
89,1498556424873,89,'333234315D358019','0000000008060504',,,,-6.5,-115,,,,,,
89,1498556424963,89,'333234315D358019','00000000080e0022',,,,-8.2,-125,,,,,,
89,1498556425158,89,'333234315D358019','00000000080e00e5',,,,-6.8,-121,,,,,,
109,1498556427115,109,'3238353550348101','000000000806042f',,,,-8.5,-124,,,,,,
109,1498556427201,109,'3238353550348101','7076fffffe01787f',,-1119,XyHygoC9ixMdl7PsEZQ9oQ==,-13,-121,0,-13,-108,-122,0,0
109,1498556427202,109,'3238353550348101','00000000080e0022',,,,-5.8,-122,,,,,,
109,1498556427206,109,'3238353550348101','0000000008060739',,,,-0.2,-116,,,,,,
109,1498556427322,109,'3238353550348101','7076fffffe017776',,,,-10,-121,0,-10,-111,,0,0
109,1498556427359,109,'3238353550348101','00000000080e00e5',,,,-6.5,-121,,,,,,
90,1498556427958,90,'333234315D358019','0000000008060504',,,,-10.5,-119,,,,,,
109,1498556428000,109,'3238353550348101','000000000806070e',,,,-12.8,-122,,,,,,
90,1498556428045,90,'333234315D358019','00000000080e0022',,,,-9.5,-126,,,,,,
90,1498556428046,90,'333234315D358019','0000000008060739',,,,-2.2,-113,,,,,,
90,1498556428091,90,'333234315D358019','7076fffffe01784d',,-23,MBEJ4O+0kzQy7ksG1UBT7Q==,-12,-114,0,-12,-102,-115,0,0
91,1498556431107,91,'333234315D358019','000000000806042f',,,,-10.5,-124,,,,,,
91,1498556431111,91,'333234315D358019','0000000008060504',,,,-4.5,-114,,,,,,
91,1498556431226,91,'333234315D358019','0000000008060739',,,,-3.8,-120,,,,,,
91,1498556431440,91,'333234315D358019','00000000080e00e5',,,,-4,-114,,,,,,
110,1498556431818,110,'3238353550348101','000000000806042f',,,,-7.2,-122,,,,,,
110,1498556431917,110,'3238353550348101','7076fffffe01787f',,-1651,bWPPKLgax0LCwb3gkkswtw==,-13,-121,0,-13,-108,-122,0,0
110,1498556431923,110,'3238353550348101','00000000080e0022',,,,-6.2,-125,,,,,,
110,1498556431956,110,'3238353550348101','7076fffffe017776',,,,-12,-119,0,-12,-107,,0,0
110,1498556432097,110,'3238353550348101','00000000080e00e5',,,,-5.2,-120,,,,,,
110,1498556433038,110,'3238353550348101','0000000008060739',,,,0.8,-113,,,,,,
92,1498556434181,92,'333234315D358019','0000000008060504',,,,-2.5,-115,,,,,,
92,1498556434263,92,'333234315D358019','00000000080e0022',,,,-8,-122,,,,,,
92,1498556434476,92,'333234315D358019','00000000080e00e5',,,,-4.2,-118,,,,,,
92,1498556434965,92,'333234315D358019','0000000008060739',,,,4,-114,,,,,,
111,1498556436624,111,'3238353550348101','0000000008060504',,,,-0.2,-110,,,,,,
111,1498556436743,111,'3238353550348101','00000000080e0022',,,,-6,-121,,,,,,
111,1498556436754,111,'3238353550348101','7076fffffe017776',,,,-11,-118,0,-11,-107,,0,0
111,1498556437296,111,'3238353550348101','0000000008060739',,,,-8.5,-117,,,,,,
93,1498556437373,93,'333234315D358019','0000000008060504',,,,-5,-113,,,,,,
94,1498556440530,94,'333234315D358019','0000000008060504',,,,-4.2,-113,,,,,,
94,1498556440675,94,'333234315D358019','7076fffffe017776',,227,gYpPVlTBTahtSpkzmY62RA==,-13,-118,0,-13,-105,-118,0,0
94,1498556440683,94,'333234315D358019','7076fffffe01784d',,652,CFGhPGwJrv4obVLxH8GuXw==,-9,-112,0,-9,-103,-113,0,0
94,1498556441208,94,'333234315D358019','0000000008060739',,,,-4.8,-120,,,,,,
112,1498556441216,112,'3238353550348101','000000000806042f',,,,-10.8,-125,,,,,,
112,1498556441324,112,'3238353550348101','00000000080e0022',,,,-5,-121,,,,,,
112,1498556441658,112,'3238353550348101','00000000080e00e5',,,,-9.2,-124,,,,,,
112,1498556441778,112,'3238353550348101','0000000008060613',,,,-8.5,-124,,,,,,
112,1498556441939,112,'3238353550348101','0000000008060739',,,,-1,-115,,,,,,
112,1498556442067,112,'3238353550348101','000000000806070e',,,,-10.5,-124,,,,,,
95,1498556443701,95,'333234315D358019','0000000008060504',,,,-3.8,-117,,,,,,
95,1498556443800,95,'333234315D358019','00000000080e0022',,,,-9.2,-126,,,,,,
95,1498556444040,95,'333234315D358019','00000000080e00e5',,,,-4.2,-118,,,,,,
113,1498556445231,113,'3238353550348101','000000000806042f',,,,-6.8,-121,,,,,,
113,1498556445342,113,'3238353550348101','00000000080e0022',,,,-6.2,-122,,,,,,
113,1498556445414,113,'3238353550348101','7076fffffe017776',,448,v+zTFDQIwrOGifa91/030w==,-12,-120,0,-12,-108,-121,0,0
113,1498556445579,113,'3238353550348101','00000000080e00e5',,,,-3.2,-118,,,,,,
113,1498556446000,113,'3238353550348101','0000000008060739',,,,-3.2,-117,,,,,,
96,1498556446728,96,'333234315D358019','0000000008060504',,,,-7,-113,,,,,,
96,1498556446815,96,'333234315D358019','7076fffffe01784d',,308,EwTGihHyd2yG+r90d79BPQ==,-11,-114,0,-11,-103,-114,0,0
96,1498556446844,96,'333234315D358019','00000000080e0022',,,,-14,-131,,,,,,
96,1498556447394,96,'333234315D358019','0000000008060739',,,,-1.2,-117,,,,,,
114,1498556449365,114,'3238353550348101','000000000806042f',,,,-10.2,-123,,,,,,
114,1498556449464,114,'3238353550348101','00000000080e0022',,,,-7.2,-124,,,,,,
114,1498556449552,114,'3238353550348101','7076fffffe017776',,1160,luvcq5n0MfgI8Cv3hN7mgQ==,-13,-121,0,-13,-108,-121,0,0
114,1498556449697,114,'3238353550348101','00000000080e00e5',,,,-6.8,-120,,,,,,
97,1498556449738,97,'333234315D358019','0000000008060504',,,,-5,-112,,,,,,
114,1498556450031,114,'3238353550348101','0000000008060739',,,,-1.5,-114,,,,,,
114,1498556450074,114,'3238353550348101','000000000806070e',,,,-13.8,-124,,,,,,
115,1498556452419,115,'3238353550348101','0000000008060504',,,,-12.5,-120,,,,,,
115,1498556452424,115,'3238353550348101','000000000806042f',,,,-7.2,-121,,,,,,
115,1498556452524,115,'3238353550348101','00000000080e0022',,,,-6.2,-123,,,,,,
115,1498556452565,115,'3238353550348101','7076fffffe017776',,1348,YqlxC0QHT7/aipPbUFkR/g==,-13,-121,0,-13,-108,-122,0,0
115,1498556452700,115,'3238353550348101','00000000080e00e5',,,,-4.8,-118,,,,,,
98,1498556452891,98,'333234315D358019','0000000008060504',,,,-3.2,-111,,,,,,
98,1498556453020,98,'333234315D358019','7076fffffe017776',,-298,lb6/cYrqj+g0Udt0TrmZQQ==,-13,-119,0,-13,-106,-119,0,0
98,1498556453049,98,'333234315D358019','7076fffffe01784d',,-553,PwIVidr99KR7N9yZi6DVkQ==,-9,-111,0,-9,-102,-113,0,0